naslov	opis
Ne imejte me za norca (1994)	Sully is a rascally ne'er-do-well approaching retirement age. While he is pressing a worker's compensation suit for a bad knee, he secretly works for his nemesis, Carl, and flirts with ... See full summary »
Tui shou (1992)	All the while, Master Chu tries to find his place in the foreign American world.
Ikiru (1952)	A bureaucrat tries to find a meaning in his life after he discovers he has terminal cancer.
Dazed and Confused (1993)	The adventures of incoming high school and junior high students on the last day of school, in May of 1976.
Goli (1993)	Johnny flees Manchester for London, to avoid a beating from the family of a girl he has raped. There he finds an old girlfriend, and spends some time homeless, spending much of his time ... See full summary »
Orlando (1992)	Young nobleman Orlando is commanded by Queen Elizabeth I to stay forever young. Miraculously, he does just that. The film follows him as he moves through several centuries of British ... See full summary »
Ruby in Paradise (1993)	Ruby, a young woman, arrives in a Florida resort town during the off season to make a fresh start. She gets work as a sales clerk in a souvineer shop run by Mildred Chambers. She dates, and... See full summary »
Some Folks Call It a Sling Blade (1994)	Twenty-five years after commiting a double murder, Karl Childers is going to be released from an institution for the criminally insane. A local reporter comes to talk to him, and after some... See full summary »
A Month by the Lake (1995)	For 16 years Miss Bentley has been spending April at an elegant hillside villa on Lake Como. This year, 1937, her London society artist father has recently died and the only other ... See full summary »
Funny Face (1957)	An impromptu fashion shoot at a book store brings about a new fashion model discovery in the shop clerk.
An Affair to Remember (1957)	A couple falls in love and agrees to meet in six months at the Empire State Building - but will it happen?
Little Lord Fauntleroy (1980)	Ceddie, Earl of Dorincourt's only grandson and heir lives in America with his mother. The Earl, getting old, asks them to come to England. Ceddie, now Lord Fauntleroy, is an adorable little... See full summary »
The Inspector General (1949)	An illiterate stooge in a traveling medicine show wanders into a strange town and is picked up on a vagrancy charge. The town's corrupt officials mistake him for the inspector general whom ... See full summary »
Winnie the Pooh and the Blustery Day (1968)	Winnie the Pooh and his friends experience high winds, heavy rains, and a flood in Hundred Acre Wood.
Hear My Song (1991)	The film is based loosely on the life of the Irish Tenor, Josef Locke (1917-1999). The film's exposition begins in Liverpool's Irish community... See full synopsis »
Mediterraneo (1991)	Greek Sea, World War II. An Italian ship leaves a handful of soldiers in a little island; their mission is to spot enemy ships and to hold the island in case of attack. The village of the ... See full summary »
Passion Fish (1992)	May-Alice Culhane was a successful soap opera star, but a car accident has left her bound to a wheelchair. She returns to her now-empty family home in the bayous of Louisiana which she had ... See full summary »

Eye for an Eye (1996)	Karen McCann's eldest daughter is raped and murdered whilst on the phone with her. When the case against Robert Doob, the perpetrator, is dismissed because of a technicality, she starts ... See full summary »
Fear (1996)	When Nicole met David; handsome, charming, affectionate, he was everything. It seemed perfect, but soon she sees that David has a darker side. And his adoration turns to obsession, their dream into a nightmare, and her love into fear.
The Man from U.N.C.L.E. (1964–1968)	The two top agents of the United Network Command for Law and Enforcement fight the enemies of peace, particularly the forces of THRUSH.
The Substitute (1996)	After a botched mission in Cuba, professional mercenary Shale and his crew Joey Six, Hollan, Rem, and Wellman head home to Miami, Florida, where Shale is reunited with his fiance Jane ... See full summary »
Nebeska ujetnika (1996)	A hardened New Orleans cop, Dave Robicheaux, finally tosses in the badge and settles into life on the bayou with his wife. But a bizarre plane crash draws him back into the fray when his family is viciously threatened.
The Trigger Effect (1996)	How tenuous is man's hold on civilization when survival becomes an issue? When the lights go out and stay out for several days, suburbanites Matthew and Annie learn the hard way that man is... See full summary »
Mother Night (1996)	An American spy behind the lines during WWII serves as a Nazi propagandist, a role he cannot escape in his future life as he can never reveal his real role in the war.
Dangerous Ground (1997)	Vusi Madlazi returns to the South African village he left as a young boy (he was organizing against apartheid, and left in fear of his life) to bury his father. He meets up with his brother... See full summary »
Nevarno tveganje (1996)	A policeman takes his twin brother's place and inherits his problems and a beautiful girlfriend. He is forced to kickbox his way from France to the U.S. and back while playing footsie with ... See full summary »
The Rich Man's Wife (1996)	A rich man's wife finds she has a bad prenuptial agreement with an even worse husband. Over drinks with a stranger, she fantasizes about doing her husband in to void the prenupt. The ... See full summary »
Shadow Conspiracy (1997)	Bobby Bishop (Sheen) is a special assistant to the President of the United States. Accidentally, he meets his friend professor Pochenko on the street. Pochenko has time to tell Bishop about... See full summary »

Turbulence (1997)	After a shootout on a flight transporting prisoners, a stewardess must outwit a smooth-talking serial killer and land the plane herself.
Podzemlje (2003)	Selene, a beautiful vampire warrior, entrenched in a war between the vampire and werewolf races. Although she is aligned with the vampires, she falls in love with Michael, a human who is sought by werewolves for unknown reasons.
The Beautician and the Beast (1997)	A New York cosmetologist mistakenly thought to be a science teacher is offered a job to teach the children of an Eastern European dictator.
Cats Don't Dance (1997)	Danny, an ambitious singing/dancing cat, goes to Hollywood and overcomes several obstacles to fulfill his dream of becoming a movie star.
Anna Karenina (2012)	In late-19th-century Russian high society, St. Petersburg aristocrat Anna Karenina enters into a life-changing affair with the dashing Count Alexei Vronsky.
Keys to Tulsa (1997)	Richter Boudreau is a son of local celebrity Cynthia who is not very successful and works as a film critic for local newspaper. In a short time he loses his job, heritage, and one of his "... See full summary »
Head Above Water (1996)	A prominent judge, his wife, her ex-lover, their neighbor and a dead body that complicates their lives.
Hercules (2014)	Having endured his legendary twelve labors, Hercules, the Greek demigod, has his life as a sword-for-hire tested when the King of Thrace and his daughter seek his aid in defeating a tyrannical warlord.
The Last Time I Committed Suicide (1997)	Neal Cassady is living the beat life during the 1940s, working at The Tire Yard and and philandering around town. However, he has visions of a happy life with kids and a white picket fence.... See full summary »
Kiss Me, Guido (1997)	Warren has an extra room in his apartment (and is five months behind on the rent) after his lover moves out, so a friend places an ad on his behalf for a GWM roommate. Frankie, a pizza ... See full summary »
The Big Green (1995)	Another Disney underdog sports team of misfit kids (soccer this time) learns to play a new sport and become champions, while building self-esteem, making friends and solving a variety of ... See full summary »
Stuart Saves His Family (1995)	A self-help advocate struggles to put his dysfunctional family in its place.
Cabin Boy (1994)	A foul-mouthed finishing school graduate mistakenly winds up on an ill-fated fishing boat, and faces the wrath of a crew that considers him bad luck.
Clean Slate (1994)	A private eye who has amnesia must go to court about a kingpin's murder.
Lightning Jack (1994)	Lightning Jack Kane is an Australian outlaw in the wild west. During a bungled bank robbery he picks up mute Ben Doyle as a hostage. The two become good friends, with Jack teaching Ben how ... See full summary »
Kretenckovi (1996)	An incredibly dull-witted family unknowingly stumble upon an illegal weapons deal while on the trail of their "stolen" garbage.
The Pest (1997)	A Miami con man agrees to be the human target for a Neo-Nazi manhunter, in order to collect $50,000 if he survives.
That Darn Cat! (1965)	A woman is kidnapped. While in captivity, she manages to send a message out with a wandering cat. The cat's owner calls the FBI. The FBI tries to follow the cat. Jealous boyfriends and nosy... See full summary »
Geronimo: An American Legend (1993)	The story of the Apache chief and his armed resistance to the US Government's subjugation of his people.

Bis ans Ende der Welt (1991)	Set in 1999, a woman (Dommartin) has a car accident with some bank robbers, who enlist her help to take the bank money to a drop in Paris. On the way she runs into another fugitive from the... See full summary »
Waiting for Guffman (1996)	An aspiring director and the marginally talented amateur cast of a hokey small-town Missouri musical production go overboard when they learn that someone from Broadway will be in attendance.
I Shot Andy Warhol (1996)	Based on the true story of Valerie Solanas who was a 60s radical preaching hatred toward men in her "Scum" manifesto. She wrote a screenplay for a film that she wanted Andy Warhol to ... See full summary »
Plesem sama (1996)	After her mother commits suicide, nineteen year old Lucy Harmon travels to Italy to have her picture painted. However, she has other reasons for wanting to go. She wants to renew her ... See full summary »
Basquiat (1996)	Basquiat tells the story of the meteoric rise of youthful artist Jean-Michel Basquiat. Starting out as a street artist, living in Thompkins Square Park in a cardboard box, Jean-Michel is "... See full summary »
2 Days in the Valley (1996)	48 hours of intersecting lives and crimes in Los Angeles.
Naga resnica (1997)	The auto-biographical story of Howard Stern, the radio-rebel who is now also a TV-personality, an author and a movie star.
Anakonda (1997)	A "National Geographic" film crew is taken hostage by an insane hunter, who takes them along on his quest to capture the world's largest - and deadliest - snake.
Prijateljici (1997)	Two dense, inseparable friends hit the road for their 10-year high school reunion and concoct an elaborate lie about their lives in order to impress their classmates.
Shiloh (1996)	Marty Preston, a small-town Southern boy, must rescue a young beagle from abusive owner and recluse Judd Travers.
Letalo prekletih (1997)	A newly released ex-con and former US Ranger finds himself trapped in a prisoner transport plane when the passengers seize control.
Trees Lounge (1996)	Tommy is an unemployed mechanic who spends most of his time in a bar (Trees Lounge) in a small blue collar town. He seems to always be thinking, "If only X then I could stop drinking".
Zvezi me (1989)	An unbalanced but alluring former mental patient takes a porn star prisoner in the hopes of convincing her to marry him.
Dip huet seung hung (1989)	A disillusioned assassin accepts one last hit in hopes of using his earnings to restore vision to a singer he accidentally blinded, only to be double-crossed by his boss.
Gaslight (1944)	Years after her aunt was murdered in her home, a young woman moves back into the house with her new husband. However, he has a secret that he will do anything to protect, even if it means driving his wife insane.

Fast, Cheap & Out of Control (1997)	What do an elderly topiary gardener, a retired lion tamer, a man fascinated by mole rats, and a cutting-edge robotics designer have in common? Both nothing and everything in this ... See full summary »
Ockov dan (1997)	A woman cons two old boyfriends into searching for her runaway son by convincing both that they are the boy's father.
Mrs Dalloway (1997)	In 1923 London, socialite Clarissa Dalloway's well-planned party is overshadowed by the return of an old suitor she had known 33 years earlier.
Fire Down Below (1997)	Environmental protection agent Jack Taggart is fighting big business types led by Orin Hanner who are dumping toxic waste somewhere in the Kentucky hills region. They also killed his fellow... See full summary »
The Lay of the Land (1997)	Harvey Dankworth is having an affair on the side, and the problems in his family life with wife Mary Jane arise. But she is also not interested in sex with him.. They start going to ... See full summary »
Strelec (2007)	A marksman living in exile is coaxed back into action after learning of a plot to kill the President. Ultimately double-crossed and framed for the attempt, he goes on the run to find the real killer and the reason he was set up.
Stare sablje 2 (1995)	John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, just as its new female owner catches Max's attention.
Jury Duty (1995)	When jobless Tommy Collins discovers that sequestered jurors earn free room and board as well as $5-a-day, he gets himself assigned to a jury in a murder trial. Once there, he does ... See full summary »
The Beverly Hillbillies (1962–1971)	A nouveau riche hillbilly family moves to Beverly Hills and shakes up the privileged society with their hayseed ways.
Lassie (1954–1974)	The ongoing saga of the Martin family and their beloved collie, Lassie.
Little Big League (1994)	A young boy is bequeathed the ownership of a professional baseball team.
Homeward Bound II: Lost in San Francisco (1996)	Shadow, Sassy, and Chance have to find their way home after they become stranded at the San Francisco International Airport as their owners fly to Canada on vacation.
Vision Quest (1985)	Vision Quest is a coming of age movie in which high school wrestler Louden Swain decides he wants to be something more than an average high school athlete and sets his sights on a prize ... See full summary »
Cool Runnings (1993)	When a Jamaican sprinter is disqualified to the Olympic Games, he enlists the help of a dishonored coach to start the first Jamaican Bobsled Team.
Drop Dead Fred (1991)	A young woman finds her already unstable life rocked by the presence of a rambunctious imaginary friend from childhood.
Grease 2 (1982)	An English student at a 1960's American high school has to prove himself to the leader of a girls' gang whose members can only date greasers.
Switchback (1997)	An FBI agent tries to catch a serial killer who kidnapped his son.
Hamlet (1996)	Hamlet, Prince of Denmark, returns home to find his father murdered and his mother remarrying the murderer, his uncle. Meanwhile, war is brewing.
Two If by Sea (1996)	Frank O'Brien, a petty thief, and his 7-year-long girlfriend Roz want to put an end to their unsteady lifestyle and just do that _last_ job, which involves stealing a valuable painting. ... See full summary »
Forget Paris (1995)	Mickey Gordon is a basketball referee who travels to France to bury his father. Ellen Andrews is an American living in Paris who works for the airline he flies on. They meet and fall in ... See full summary »
Just Cause (1995)	A Harvard professor is lured back into the courtroom after 25 years to take the case of a young black man condemned to death for the horrific murder of a child.
Rent-a-Kid (1995)	Harry Habert, owner of a rent office has an original idea: To rent babies from a nearby orphanage to the local families. He rents the Ward brothers to his first customers...
Paper Towns (2015)	A young man and his four friends embark upon the road trip of their lives to find the missing girl next door.
Huo Yuanjia (2006)	A biography of Chinese Martial Arts Master Huo Yuanjia, who is the founder and spiritual guru of the Jin Wu Sports Federation.
Zloba (1993)	A tale about a happily married couple who would like to have children. Tracy teaches art, Andy's a college dean. Things are never the same after she is taken to hospital and operated upon by Jed, a "know all" doctor.
Stirje mozje, ena zena (1996)	A man who never has enough time for the things he wants to do is offered the opportunity to have himself duplicated.
Ona je prava (1996)	The love lives of two brothers, Mickey and Francis, interconnect as Francis cheats on his wife with Mickey's ex-girlfriend, while Mickey impulsively marries a stranger.
House Arrest (1996)	A group of children, desperate to keep their various parents from getting divorces, kidnap them and hold them prisoner in a basement in order to force them to reconcile.
The Ghost and Mrs. Muir (1947)	In 1900, a young widow finds her seaside cottage is haunted...and forms a unique relationship with the ghost.

Dracula: Dead and Loving It (1995)	Mel Brooks' parody of the classic vampire story and its famous film adaptations.
Now and Then (1995)	Four 12-year-old girls grow up together during an eventful small-town summer in 1970.
Mr. Wrong (1996)	A single and lonely woman finds the seemingly perfect man to date, but soon regrets it when his deranged and possessive other personality emerges and worst still, she cannot convince anyone else of his Jekyll/Hyde true nature.
A Simple Twist of Fate (1994)	His life was emotionally closed off from the world, until an orphaned baby showed up at his house.
Cronos (1993)	A mysterious device designed to provide its owner with eternal life resurfaces after four hundred years, leaving a trail of destruction in its path.
The Pallbearer (1996)	A young man's life is thrown into a loop when he is asked to be a pallbearer for the funeral of a classmate he doesn't remember, and his old high school crush temporarily returns to town.
Spartak: Kri in pesek (2010–2013)	Watch the story of history's greatest gladiator unfold with graphic violence and the passions of the women that love them. This is Spartacus.
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)	"Don't Be a Menace to South Central While Drinking your Juice in the Hood" is a parody of a lot of black U.S. movies, for instance "Boyz n the Hood", "South Central", "Menace II Society", "... See full summary »
Ostrzek (1996)	One of puppet-maker Geppetto's creations comes magically to life. This puppet, Pinocchio, has one major desire and that is to become a real boy someday. In order to accomplish this goal he ... See full summary »
The Evening Star (1996)	Continuing the story of Aurora Greenway in her latter years. After the death of her daughter, Aurora struggled to keep her family together, but has one grandson in jail, a rebellious ... See full summary »
O Que É Isso, Companheiro? (1997)	Fernando, a journalist, and his friend César join terrorist group MR8 in order to fight Brazilian dictatorial regime during the late sixties. Cesare, however, is wounded and captured during... See full summary »
A Little Princess (1995)	A young girl is relegated to servitude at a boarding school when her father goes missing and is presumed dead.
Freelancers (2012)	The son of a slain NYPD officer joins the force, where he falls in with his father's former partner and a team of rogue cops.
Koyaanisqatsi (1982)	A collection of expertly photographed phenomena with no conventional plot. The footage focuses on nature, humanity and the relationship between them.
Balto (1995)	An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.
Bottle Rocket (1996)	Focusing on a trio of friends and their elaborate plan to pull off a simple robbery and go on the run.
Moz, ki je ustvarjal zvezde (1995)	A photographer and the types of people he encounters.
Amater (1994)	Isabelle is an ex-nun waiting for her special mission from God. In the meantime, she is making a living writing pornography. She meets Thomas, a sweet, confused amnesiac who cannot remember... See full summary »
Ziveti v pozabi (1995)	Film about filmmaking. It takes place during one day on set of non-budget movie. Ultimate tribute to all independent filmmakers.
Tart (2001)	After her only friend is expelled from their private school in the Upper East Side of Manhattan, Cat Storm wants to get close to a boy she is attracted to and recreate herself with new ... See full summary »
A Pyromaniac's Love Story (1995)	A pastry boy and the son of a hair-piece mogul become involved in an arson scandal. Sergio is offered a bribe in exchange for taking the blame for the fire that destroys his workplace. ... See full summary »
Plitvi grob (1994)	Three friends discover their new flatmate dead but loaded with cash.
Kruta resnicnost (1994)	Generation X Graduates face life after college with a filmmaker looking for work and love in Houston.
A Man of No Importance (1994)	Alfie Byrne is a middle-aged bus conductor in Dublin in 1963. He would appear to live a life of quiet desperation: he's gay, but firmly closeted, and his sister is always trying to find him... See full summary »
The Pagemaster (1994)	A cowardly boy who buries himself in accident statistics enters a library to escape a storm only to be transformed into an animated illustration by the Pagemaster. He has to work through obstacles from classic books to return to real life.
Love and a .45 (1994)	Watty has made a living out of robbing convenience stores, but after one of these job turned into murder by his partner, the psychopath Billy Mack, he is on the run with his fiancé Starlene... See full summary »
Oliver! (1968)	Musical adaptation about an orphan who runs away from an orphanage and hooks up with a group of boys trained to be pickpockets by an elderly mentor.
Joe's Apartment (1996)	A nice guy has just moved to New York and discovers that he must share his run-down apartment with a couple thousand singing, dancing cockroaches.
Mécaniques célestes (1995)	Ana bolts from her wedding altar and flies from Venezuela to Paris (in her wedding gown) to realize her dream of becoming a great opera star. The great Parisian director Italo Medici is ... See full summary »
Curdled (1996)	Gabriella, a Colombian immigrant, is obsessed with understanding violent crime. The current string of murders by "The Blue Blood Killer" of affluent Miami socialites provides her with ... See full summary »
Female Perversions (1996)	An ambitious female attorney wallows in excess and meaningless sex with both male and female partners, while dealing with her personal life problems including helping her kleptomaniac sister.
Albino Alligator (1996)	While escaping from a foiled robbery attempt, three thieves find themselves surrounded by police at a New Orleans bar--only they're not the people the police are searching for.
Anne Frank Remembered (1995)	Using previously unreleased archival material in addition to contemporary interviews, this academy award-winning documentary tells the story of the Frank family and presents the first ... See full summary »
Carried Away (1996)	Joseph Svenden is a middle-aged schoolteacher who lives on a farm with his dying mother. In his simple life there are no excitements, even in long-time relationship with a widow. However, ... See full summary »
It's My Party (1996)	"You won't leave me, will you?" Nick asks Brandon shortly after revealing to him the results of his last blood test for HIV. "I don't want to die alone." In spite of Brandon's protestations... See full summary »
Bloodsport 2 (1996)	After thief Alex Cardo gets caught while stealing an ancient katana in East Asia, he soon finds himself imprisoned and beaten up by the crowd there. Especially one of the guards, Demien, ... See full summary »
Sanjsko mostvo (1997)	Counter-terrorist Jack Quinn misses his target, Stavros, on the eve of his final mission. From there, he is sent to "The Colony", a rebirth for presumed-dead assassins. He breaks free from ... See full summary »
Hitrost 2 - Brez zavor (1997)	A computer hacker breaks into the computer system of the Seabourn Legend cruise liner and sets it speeding on a collision course into a gigantic oil tanker.
Vrocica (1993)	Carly Norris is a book editor living in New York City who moves into the Sliver apartment building. In the apartment building, Carly meets two of her new neighbors, author Jack Lansford who... See full summary »
Pete's Dragon (2016)	A young orphan seeks refuge from his abusive adoptive parents with the help of a pet dragon and a couple who live in a lighthouse.
Dear God (1996)	When letters written to God start getting results, and replies, people everywhere are amazed. The Post Office however is annoyed.
Live Nude Girls (2014)	When Shane (Mike Hatton) inherits a gentleman's club from his estranged uncle, he leaves his Midwestern home for Los Angeles. Run by a booze hound (Dave Foley) and employing a dozen out of ... See full summary »
A Thin Line Between Love and Hate (1996)	An observable, fast-talking party man Darnell Wright, gets his punishment when one of his conquests takes it personally and comes back for revenge in this 'Fatal Attraction'-esque comic ... See full summary »
Nenevarna srceca (1996)	Richard Clark has just left the well-known Wellington Academy to teach at Marion Barry High School. Now, he will try to inspire the D-average students into making good grades and try to woo a fellow teacher.
Commandments (1997)	Seth Warner has reached the end of his rope. Ever since his wife died two years earlier, his world has been in turmoil. He is despondent, his career has fallen apart, even his house has ... See full summary »
La haine (1995)	After local youth Abdel is beaten unconscious by police, a riot ensues on his estate during which a policeman loses his gun. The gun is found by Vinz who threatens he will kill a cop if Abdel dies.
Flirting with Disaster (1996)	A young man, his wife, and his incompetent case worker travel across country to find his birth parents.
Pao Da Shuang Deng (1994)	A woman inherits her father's fireworks factory, as he had no son. The business does well and everything works in an orderly fashion until one day, an itinerant painter is hired to decorate... See full summary »
What Happened Was... (1994)	This darkly humorous film explores the personal psychic landscape of two lonely New Yorkers. Jackie and Michael are coworkers at a large law firm, who decide to meet at Jackie's for dinner ... See full summary »
Six Degrees of Separation (1993)	An affluent New York couple find their lives touched, intruded upon, and compelled by a mysterious young black man who is never quite who he says he is.
Two Much (1995)	A young gallerist is in love with two sisters at the same time. In order to solve the problem he decides to invent his own twin-brother.
Trust (2010)	A teenage girl is targeted by an online sexual predator.
C'est arrivé très loin de chez vous (1992)	Add a Plot
Firestorm (1998)	Firefighter Jesse Graves has to save ornithologist Jennifer and other people caught in a forest fire, which was set up by the lawyer of convicted killer Earl Shaye, who escaped from the ... See full summary »
The Newton Boys (1998)	The story of the Newton gang, the most successful bank robbers in history, thanks to their good planning and minimal violence.
Rangoon (1995)	Laura is trying to pick up the pieces of her life after the murder of her husband and son, and goes on vacation with her sister to Burma. After losing her passport at a political rally, she... See full summary »
Feast of July (1995)	After an abandoned young woman in late 19th Century England is taken in by a rural couple with three handsome sons, tragic consequences result.
Deklica in smrt (1994)	A political activist is convinced that her guest is a man who once tortured her for the government.
Tank Girl (1995)	Based on the British cult comic-strip, our tank-riding anti-heroine fights a mega-corporation, which controls the world's water supply.
Double Happiness (1994)	Twenty-two year old Chinese-Canadian Jade Li comes from a traditional Chinese family, who try to put on the perfect public persona at all cost so as to "save face". One primary part of this... See full summary »
Cobb (1994)	A reporter hired to write the 'official' biography of Ty Cobb discovers just how dark the baseball legend's real story is.
Mrs. Parker and the Vicious Circle (1994)	Dorothy Parker remembers the heyday of the Algonquin Round Table, a circle of friends whose barbed wit, like hers, was fueled by alcohol and flirted with despair.
Faithful (1996)	A depressed housewife whose husband is having an affair contemplates suicide, but changes her mind when she faces death by a killer hired to do her in.
Twelfth Night or What You Will (1996)	Shakespeare's comedy of gender confusion, in which a girl disguises herself as a man to be near the count she adores, only to be pursued by the woman he loves.
Ah sì? E io lo dico a Zzzzorro! (1975)	Il misterioso Zorro, intervenuto per impedire le nozze tra Carmen e Marcel, nel compiere la solita acrobatica e strategica ritirata, cade rimanendo impedito nei movimenti. Preoccupato per ... See full summary »
Zivljenje s Picassom (1996)	The passionate Merchant-Ivory drama tells the story of Francoise Gilot, the only lover of Pablo Picasso who was strong enough to withstand his ferocious cruelty and move on with her life.
Up in Smoke (1978)	Two stoners unknowingly smuggle a van - made entirely of marijuana - from Mexico to L.A., with incompetent Sgt. Stedenko on their trail.
Some Kind of Wonderful (1987)	A young tomboy, Watts, finds her feelings for her best friend, Keith, run deeper than just friendship when he gets a date with the most popular girl in school. Unfortunately, the girl's old... See full summary »
I'm Not Rappaport (1996)	Old Nat Moyer is a talker, a philosopher, and a troublemaker with a fanciful imagination. His companion is Midge Carter, who is half-blind, but still the super of an apartment house. When ... See full summary »
Les parapluies de Cherbourg (1964)	A young girl separated from her lover by war faces a life altering decision.
They Made Me a Criminal (1939)	A boxer flees believing he has comitted a murder while he was drunk.
The Last Time I Saw Paris (1954)	Charles returns to Paris to reminisce about the life he led in Paris after it was liberated. He worked on "Stars and Stripes" when he met Marion and Helen. He would marry and be happy ... See full summary »
A Farewell to Arms (1932)	A tale of the love between ambulance driver Lt. Henry and Nurse Catherine Barkley during World War I. The action takes place in Italy and the two fall in love during the war and will stop ... See full summary »
The Innocents (1961)	A young governess for two children becomes convinced that the house and grounds are haunted.
The Old Man and the Sea (1958)	An old Cuban fisherman's dry spell is broken when he hooks a gigantic fish that drags him out to sea. Based on Ernest Hemingway's story.
Trumanov show (1998)	An insurance salesman/adjuster discovers his entire life is actually a T.V. show.
Heidi Fleiss: Hollywood Madam (1995)	A documentary crew from the BBC arrives in L.A. intent on interviewing Heidi Fleiss, a year after her arrest for running a brothel but before her trial. Several months elapse before the ... See full summary »
Chung King ekspres (1994)	Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal server at a late-night restaurant he frequents.
Jupiter's Wife (1995)	Michel Negroponte, a documentary filmmaker, meets Maggie one day in Central Park. Maggie claims to be married to the god Jupiter and the daughter of actor Robert Ryan. Michel gets to know ... See full summary »
Safe (2012)	Mei, a young girl whose memory holds a priceless numerical code, finds herself pursued by the Triads, the Russian mob, and corrupt NYC cops. Coming to her aid is an ex-cage fighter whose life was destroyed by the gangsters on Mei's trail.
Okus po Minnesoti (1996)	An ex-convict and his bumbling crook brother fight for the same woman.
Escape to Witch Mountain (1975)	Two mysterious orphan children have extraordinary powers and are chased by a scheming millionaire. But where do these kids really call home?
Get on the Bus (1996)	A disparate group of African-American men travel by bus to Washington, DC for the Million Man March.
The Boy Next Door (2015)	A newly divorced woman falls for a younger man who has recently moved in across the street from her, but their torrid affair soon takes a dangerous turn.
Ghosts of Mississippi (1996)	The widow of murdered civil rights leader Medger Evers and a district attorney struggle to finally bring the murderer to justice.
Mestna pravljica (1996)	In a suburb of London, young Jamie is escaping sport hours, to avoid being the victim of his comrades. Young Ste, his neighbor, is beaten by his father, and comes to sleep overnight. They discover new feelings, sleeping in the same bed.
Best Men (1997)	The film opens with 4 tuxedo clad men showing up at a penitentiary to meet a friend who has just been released after three years in prison and is going straight from the jail to marry his ... See full summary »
Hackers (1995)	A young boy is arrested by the U.S. Secret Service for writing a computer virus and is banned from using a computer until his 18th birthday. Years later, he and his new-found friends ... See full summary »
The Road to Wellville (1994)	A story about the ins and outs of one unusual health facility in the early 20th century, run by the eccentric Dr. Kellogg.
War Room (2015)	Filled with heart, humor, and wit, WAR ROOM follows Tony and Elizabeth Jordan, a couple who seemingly have it all-great jobs, a beautiful daughter, their dream home. But appearances can be ... See full summary »
When We Were Kings (1996)	A documentary of the 1974 heavyweight championship bout in Zaire between champion George Foreman and underdog challenger Muhammad Ali.
Sydney (1996)	John has lost all his money. He sits outside a diner in the desert when Sydney happens along, buys him coffee, then takes him to Reno and shows him how to get a free room without losing ... See full summary »
The Quiet Room (1996)	A seven-year-old girl adopts a vow of silence in protest when her quarrelsome parents grow increasingly hostile to one another.
Blue Chips (1994)	A college basketball coach is forced to break the rules in order to get the players he needs to stay competitive.
Calendar Girl (1993)	Three young men go on an end of the summer trip to Hollywood, CA. Their quest: to fulfill the fantasy of meeting Marilyn Monroe.
Moja druzina (2000–2011)	Comedy about Ben, a dentist, and his family. They don't exactly get along well.

Walkabout (1971)	Two young siblings are stranded in the Australian Outback and are forced to cope on their own. They meet an Australian boy on "walkabout": a ritual separation from his tribe.
Last Dance (1996)	Upon taking a new job, young lawyer Rick Hayes is assigned to the clemency case of Cindy Liggett, a woman convicted of first degree murder and sentenced to death. As Hayes investigates the ... See full summary »
Original Gangstas (1996)	Marvin Bookman is a small shop owner in Gary, Indiana, USA. After he sees a drive-by shooting of Laurie Thompson's son by a local gang, he gives up the license number of the car to the ... See full summary »
In Love and War (1996)	Reporter Ernest Hemingway is an ambulance driver in Italy during World War I. While bravely risking his life in the line of duty, he is injured and ends up in the hospital, where he falls ... See full summary »

Alphaville, une étrange aventure de Lemmy Caution (1965)	A U.S. secret agent is sent to the distant space city of Alphaville where he must find a missing person and free the city from its tyrannical ruler.
Les rendez-vous de Paris (1995)	Three stories of love and coincidence around the theme of dates in Paris.
Xich lo (1995)	A young man who struggles through life by earning some money with his bicycle-taxi in Saigon (Ho Chi Minh city) gets contact to a group of criminals. They introduce him to the mafia-world ... See full summary »
Relikvija (1997)	A homicide detective and an anthropologist try to destroy a South American lizard-like god, who's on a people eating rampage in a Chicago museum.
La fille seule (1995)	Early one morning Valerie has to tell her unemployed boyfriend Remi that she is pregnant. She has decided to keep the child, but they argue whether they should break up or not. That same ... See full summary »
Stalker (2014– )	A team of detectives investigates stalkers in Los Angeles.
Love! Valour! Compassion! (1997)	Gregory invites seven friends to spend the summer at his large, secluded 19th-century home in upstate New York. The seven are: Bobby, Gregory's "significant other," who is blind but who ... See full summary »
Palookaville (1995)	Jerry and his two pals, Russ and Syd, are just looking for some easy money to help them break out of their nowhere lives in their nowhere town. Despite a bungled jewelry store heist which ... See full summary »
Phat Beach (1996)	A hefty homeboy borrows his dad's Mercedes and goes to the beach with his friends for wild sun & fun.
Portret dame (1996)	An American girl inherits a fortune and falls into a misguided relationship with a gentleman confidence artist whose true nature, including a barbed and covetous disposition, turns her life into a nightmare.
Zeus and Roxanne (1997)	Mary Beth is a marine biologist that gets annoyed when a dog called Zeus stows aboard her research boat. Nevertheless she is intrigued when the intrusive canine makes best-friends with her ... See full summary »
Big Bully (1996)	A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.

The Sum of Us (1994)	A widowed father has to deal with two complex issues: while he is searching for "Miss Right," his son, who is in his 20s and gay, is searching for "Mr. Right."
